filename,fire,smoke
Img_213_jpg.rf.7baf0925dafe69e43c4d39fff841c52f.jpg,1,0
1019_jpg.rf.4399390b69ea9a668b40d99bf0fbf0f7.jpg,1,0
Img_1432_jpg.rf.e669d17ac810df194fb4c2737fd1a0be.jpg,1,0
fire1-33-_jpg.rf.7732af0c739863fc2a1d795b7e0fb8fc.jpg,1,1
ck0kkzzufk6zy0a464la26n1c_jpeg_jpg.rf.dae0eeb4625e1c8720a46e7e3e283787.jpg,0,1
fire1-544-_jpg.rf.a6f1bca853fb0477d0b11464c75974db.jpg,1,0
Img_256_jpg.rf.f1c35fadb1cdfcfe3fc531f8a54eb5bb.jpg,1,0
fire1-934-_jpg.rf.c496be9919f6a6a64c9bc0fd07d2c629.jpg,1,0
Img_1671_jpg.rf.81475154d2e031c7a3fe4608eca0f799.jpg,1,0
fire1-89-_jpg.rf.e63b14dc2a0854e563875c9a52a5bf54.jpg,1,0
Img_1228_jpg.rf.2e656198cd36101b93e05ee284bff4dc.jpg,1,0
fire1-157-_jpg.rf.b77a568819be3d219dc65dc6e751d415.jpg,1,0
Img_1343_jpg.rf.da413da92366d838f1c160cbda240416.jpg,1,0
Img_521_jpg.rf.75d4f02f2e3da4e47f533c8a577bcba0.jpg,1,0
Img_1465_jpg.rf.6d6f4b0e2ebda84867a8c22f3b1ac23e.jpg,1,0
Img_1798_jpg.rf.95a117491c73f1345fe772614f59aae1.jpg,1,0
Img_458_jpg.rf.9a279e1c8bce5c26e17de29f8444c02d.jpg,1,0
fire1-1361-_jpg.rf.6ecf1c7720ea73d48a56974b2fde890a.jpg,1,0
fire1-194-_jpg.rf.ddebd9b1fe19ce2ba7418111ceeafece.jpg,1,0
Img_1865_jpg.rf.4ebfe5a55ec5dea0874a4400832ca010.jpg,1,0
Img_56_jpg.rf.60807568f06cf8eedec1343d510ab983.jpg,1,0
Img_1818_jpg.rf.a612ba631edecca7c381cebfbab62ed9.jpg,1,0
fire1-200-_jpg.rf.fe38517d4a809f7c730faec1ea8ed5de.jpg,1,0
fire1-848-_jpg.rf.e2f8d6e57e47a16c3f7f8c788b9fe0cf.jpg,1,0
Img_1039_jpg.rf.9918f7b404438fb57ebf6da742f696d8.jpg,1,0
MirrorWEBFire1420_jpg.rf.05ad980d3a78e4a52d1939750cddc3c8.jpg,1,1
Img_364_jpg.rf.3d8564b9ae9689ac2f10c1480e404ac4.jpg,1,0
ck0nd794g00mz078022z17djb_jpeg_jpg.rf.2346d7dbfdbe975aef5f7c03b437c182.jpg,0,1
Img_1833_jpg.rf.272f58383092e63184c048833f5bdefd.jpg,1,0
new_fire_fire-528_png_jpg.rf.da602b50d6f11e705ab15bf38c3220f2.jpg,1,0
Img_1166_jpg.rf.c464963965c59c0b0a5f25b7a9276ad6.jpg,1,0
NoiseWEBSmoke2032_jpg.rf.931f9118320cd93fe5afcfde88fac3f9.jpg,1,1
NoiseWEBFire2053_jpg.rf.dfe2b37be98a119c8bf4bb9b1eebcb84.jpg,1,0
Img_2011_jpg.rf.5c9a2dae544883ab8f9377bc9cc56645.jpg,1,0
WEBSmoke2334_jpg.rf.1c81f9762aad7596c3670a77f732166f.jpg,1,1
MirrorWEBFire1754_jpg.rf.87ee1c5f8c912d1b398c2bd8c236d88d.jpg,1,1
Img_1255_jpg.rf.af56a3dc45ddcc3111cd9a102baac01e.jpg,1,0
ck0kdeqv8a00m0721x8avt6qe_jpeg_jpg.rf.51c83dd9306c1d0b7829e8da92be43f6.jpg,0,1
FireDetectionImage_NoiseWEBFire950_jpg.rf.01f8a586d31924f2d3611b8adf3b9b22.jpg,1,0
ck0twl6pqwg6c0721ja81m52m_jpeg_jpg.rf.05d6812185d6b3aabfcdc663cefa6208.jpg,0,1
WEBFire575_jpg.rf.8f79fc329ce7eb11bf3a58c03559a892.jpg,1,1
new_fire_fire-439_png_jpg.rf.1f21f77302d299fe6c42c998f927550e.jpg,1,0
fire1-858-_jpg.rf.145b4fa049a055a4cac1d600b20acdeb.jpg,1,0
MirrorWEBFire2132_jpg.rf.742689fd89d9338f20f4f7e42c5da422.jpg,1,1
Img_1366_jpg.rf.b1d62b1b02a14e058e3a478460ac6328.jpg,1,0
new_fire_fire-588_png_jpg.rf.d8976be8e4c1784ac764b55d859ae0ee.jpg,1,0
